var,lang,n,mean,sd,se,median,min,max
dur,du,47,355.17,81.92,11.95,339.01,235.24,626.26
dur,ee,58,350.65,68.84,9.04,346.1,222.28,563.23
dur,en,45,319.19,105.08,15.66,292.15,223.63,655.79
dur,fi,51,334.97,68.85,9.64,318.12,226.68,519.05
dur,ge,45,357.54,51.01,7.6,365.7,244.97,460.98
dur,gr,48,363.25,84.74,12.23,344.28,226.58,629.93
dur,he,45,445.42,99.39,14.82,433.82,261.71,661.22
dur,it,51,403.65,95.98,13.44,377.01,242.76,702.38
dur,no,40,357.51,75.87,12,337.98,253.01,551.97
dur,ru,47,365.36,75.13,10.96,356.94,213.64,543.75
dur,sp,41,396.88,98.91,15.45,387.53,235.12,695.19
dur,tr,25,409.38,79.59,15.92,399.29,287.42,589.4
firstfix.dur,du,47,226.89,35.94,5.24,222.37,175.34,372.89
firstfix.dur,ee,58,218.78,27.46,3.61,218.34,170.89,278.02
firstfix.dur,en,45,206.92,23.07,3.44,209.63,151.85,258.24
firstfix.dur,fi,51,221.59,27.1,3.79,215.57,165.97,298.3
firstfix.dur,ge,45,222.13,22.86,3.41,219.41,172.89,267.92
firstfix.dur,gr,48,231.73,28.14,4.06,235.89,159.07,298.4
firstfix.dur,he,45,244.59,26.06,3.88,249.06,166.29,297.44
firstfix.dur,it,51,232.28,30.18,4.23,234.35,157.09,302.34
firstfix.dur,no,40,230.56,24.71,3.91,229.73,180.68,301.15
firstfix.dur,ru,47,231.32,25.41,3.71,230.58,181.53,286.59
firstfix.dur,sp,41,222.52,25.78,4.03,221.66,168.37,283.46
firstfix.dur,tr,25,229.84,23.27,4.65,226.92,193.92,278.1
firstrun.dur,du,47,263.41,47.96,7,251.3,185.95,475.14
firstrun.dur,ee,58,258.09,41.55,5.46,253.58,188.27,374.77
firstrun.dur,en,45,262.75,85.82,12.79,240.88,184.05,554.83
firstrun.dur,fi,51,265.71,38.57,5.4,261.32,186,367.19
firstrun.dur,ge,45,271.66,32.67,4.87,268.95,208.88,359.37
firstrun.dur,gr,48,294.83,51.27,7.4,285.5,182.49,423.43
firstrun.dur,he,45,327.48,54.38,8.11,321.76,218.01,441.25
firstrun.dur,it,51,288.39,48.42,6.78,282.7,195.55,439.97
firstrun.dur,no,40,286.84,46.74,7.39,275.79,206.72,435.24
firstrun.dur,ru,47,288.44,42.72,6.23,283.87,206.83,379.94
firstrun.dur,sp,41,275.96,41.09,6.42,267.79,204.79,396.03
firstrun.dur,tr,25,288.96,43.59,8.72,276.44,225.64,396.78
nfix,du,47,1.59,0.22,0.03,1.57,1.21,2.23
nfix,ee,58,1.64,0.23,0.03,1.59,1.2,2.37
nfix,en,45,1.58,0.51,0.08,1.42,1.11,3.37
nfix,fi,51,1.54,0.24,0.03,1.5,1.2,2.3
nfix,ge,45,1.66,0.22,0.03,1.61,1.27,2.05
nfix,gr,48,1.62,0.3,0.04,1.53,1.19,2.42
nfix,he,45,1.86,0.35,0.05,1.84,1.34,2.67
nfix,it,51,1.79,0.32,0.05,1.73,1.3,2.61
nfix,no,40,1.59,0.25,0.04,1.57,1.26,2.28
nfix,ru,47,1.62,0.24,0.04,1.61,1.08,2.29
nfix,sp,41,1.83,0.31,0.05,1.8,1.32,2.65
nfix,tr,25,1.83,0.27,0.05,1.85,1.38,2.21
rate,du,47,242.78,67.8,9.89,240.43,108.57,415.29
rate,ee,58,234.7,66.33,8.71,232.47,115.7,478.75
rate,en,45,307.3,92.77,13.83,316.1,112.43,514.58
rate,fi,51,252.67,72.18,10.11,250.5,120.9,479.42
rate,ge,45,209.46,44.89,6.69,207.25,136.55,353.56
rate,gr,48,221.84,65.96,9.52,226.5,89.83,404.86
rate,he,45,172.14,67.25,10.03,157.64,82.08,395
rate,it,51,191.96,56.46,7.91,185.11,79.5,335.4
rate,no,40,225.46,69.29,10.96,211.79,103,415.11
rate,ru,47,219.96,79.38,11.58,201.09,115.27,594.5
rate,sp,41,208.35,65.04,10.16,208,87.4,379.58
rate,tr,25,193.71,63.01,12.6,174.25,113.75,364
refix,du,47,0.18,0.07,0.01,0.18,0.04,0.37
refix,ee,58,0.19,0.07,0.01,0.19,0.04,0.33
refix,en,45,0.16,0.06,0.01,0.14,0.06,0.35
refix,fi,51,0.21,0.07,0.01,0.21,0.08,0.44
refix,ge,45,0.23,0.07,0.01,0.22,0.11,0.4
refix,gr,48,0.27,0.1,0.01,0.25,0.1,0.48
refix,he,45,0.32,0.11,0.02,0.34,0.09,0.56
refix,it,51,0.26,0.09,0.01,0.25,0.08,0.5
refix,no,40,0.24,0.09,0.01,0.25,0.11,0.4
refix,ru,47,0.25,0.08,0.01,0.26,0.07,0.44
refix,sp,41,0.27,0.07,0.01,0.25,0.15,0.42
refix,tr,25,0.27,0.08,0.02,0.27,0.11,0.47
reg.in,du,47,0.25,0.08,0.01,0.24,0.11,0.46
reg.in,ee,58,0.24,0.08,0.01,0.23,0.1,0.42
reg.in,en,45,0.21,0.07,0.01,0.19,0.08,0.41
reg.in,fi,51,0.19,0.08,0.01,0.18,0.08,0.39
reg.in,ge,45,0.23,0.08,0.01,0.22,0.08,0.42
reg.in,gr,48,0.19,0.08,0.01,0.18,0.06,0.42
reg.in,he,45,0.25,0.08,0.01,0.24,0.08,0.47
reg.in,it,51,0.23,0.08,0.01,0.21,0.09,0.54
reg.in,no,40,0.2,0.07,0.01,0.2,0.07,0.43
reg.in,ru,47,0.17,0.06,0.01,0.18,0.04,0.33
reg.in,sp,41,0.24,0.08,0.01,0.23,0.12,0.47
reg.in,tr,25,0.23,0.08,0.02,0.22,0.11,0.42
reread,du,47,0.27,0.11,0.02,0.27,0.08,0.53
reread,ee,58,0.29,0.12,0.02,0.27,0.12,0.71
reread,en,45,0.19,0.08,0.01,0.19,0.05,0.43
reread,fi,51,0.23,0.1,0.01,0.21,0.09,0.47
reread,ge,45,0.28,0.11,0.02,0.26,0.12,0.54
reread,gr,48,0.21,0.11,0.02,0.19,0.07,0.51
reread,he,45,0.3,0.11,0.02,0.28,0.1,0.55
reread,it,51,0.32,0.14,0.02,0.27,0.09,0.63
reread,no,40,0.22,0.09,0.01,0.2,0.06,0.58
reread,ru,47,0.23,0.1,0.01,0.23,0.01,0.46
reread,sp,41,0.34,0.14,0.02,0.33,0.14,0.67
reread,tr,25,0.33,0.13,0.03,0.36,0.1,0.58
skip,du,47,0.28,0.07,0.01,0.29,0.13,0.41
skip,ee,58,0.24,0.08,0.01,0.23,0.11,0.45
skip,en,45,0.32,0.09,0.01,0.34,0.1,0.51
skip,fi,51,0.26,0.08,0.01,0.26,0.11,0.45
skip,ge,45,0.2,0.06,0.01,0.18,0.07,0.36
skip,gr,48,0.22,0.08,0.01,0.21,0.08,0.4
skip,he,45,0.2,0.08,0.01,0.19,0.06,0.46
skip,it,51,0.2,0.06,0.01,0.19,0.08,0.42
skip,no,40,0.22,0.09,0.01,0.21,0.07,0.52
skip,ru,47,0.22,0.07,0.01,0.22,0.13,0.53
skip,sp,41,0.23,0.06,0.01,0.23,0.12,0.36
skip,tr,25,0.22,0.09,0.02,0.21,0.07,0.41
acc,du,47,0.74,0.09,0.01,0.75,0.54,0.96
acc,ee,58,0.78,0.1,0.01,0.79,0.54,1
acc,en,45,0.74,0.12,0.02,0.71,0.46,0.96
acc,fi,51,0.75,0.1,0.01,0.79,0.46,0.92
acc,ge,45,0.73,0.13,0.02,0.75,0.38,0.96
acc,gr,48,0.58,0.18,0.03,0.6,0.17,0.83
acc,he,45,0.74,0.12,0.02,0.79,0.38,1
acc,it,51,0.73,0.13,0.02,0.75,0.29,0.96
acc,no,40,0.66,0.15,0.02,0.69,0.29,0.88
acc,ru,47,0.75,0.13,0.02,0.75,0.38,0.96
acc,sp,41,0.74,0.14,0.02,0.75,0.42,0.96
acc,tr,25,0.64,0.16,0.03,0.62,0.29,0.83
